epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,268.816,0.93076,1.26183,1.07323,0.42937,0.1672,0.13189,0.10462,1.2353,3.33016,1.31588,0.00133669,0.000445562,0.00133669,0.000445562,0.00133669,0.000445562,0.00133669,0.000445562
31,277.652,0.91072,1.20852,1.06326,0.55542,0.11544,0.14981,0.12414,1.23788,3.29756,1.32195,0.00131812,0.000439375,0.00131812,0.000439375,0.00131812,0.000439375,0.00131812,0.000439375
32,286.482,0.90238,1.21753,1.06563,0.42079,0.18122,0.1435,0.11611,1.2458,3.20382,1.33131,0.00129956,0.000433187,0.00129956,0.000433187,0.00129956,0.000433187,0.00129956,0.000433187
33,295.294,0.9156,1.19997,1.0599,0.41174,0.18629,0.13828,0.10999,1.22503,3.27812,1.31359,0.001281,0.000427,0.001281,0.000427,0.001281,0.000427,0.001281,0.000427
34,304.098,0.89833,1.15224,1.05285,0.45697,0.13565,0.1287,0.10234,1.24768,3.27561,1.31415,0.00126244,0.000420812,0.00126244,0.000420812,0.00126244,0.000420812,0.00126244,0.000420812
35,312.88,0.88235,1.16507,1.05058,0.39653,0.17278,0.11111,0.08709,1.23863,3.30632,1.30044,0.00124387,0.000414625,0.00124387,0.000414625,0.00124387,0.000414625,0.00124387,0.000414625
36,321.726,0.8723,1.11578,1.03757,0.46337,0.13001,0.1254,0.09661,1.25117,3.20536,1.31324,0.00122531,0.000408438,0.00122531,0.000408438,0.00122531,0.000408438,0.00122531,0.000408438
37,330.519,0.85967,1.10768,1.03754,0.23927,0.12554,0.11974,0.09371,1.26479,3.37101,1.31969,0.00120675,0.00040225,0.00120675,0.00040225,0.00120675,0.00040225,0.00120675,0.00040225
38,339.351,0.8676,1.10539,1.03546,0.41816,0.16491,0.12145,0.09371,1.24568,3.29505,1.32175,0.00118819,0.000396063,0.00118819,0.000396063,0.00118819,0.000396063,0.00118819,0.000396063
39,348.111,0.85951,1.10768,1.03207,0.17346,0.16602,0.12931,0.09822,1.27481,3.31163,1.34301,0.00116963,0.000389875,0.00116963,0.000389875,0.00116963,0.000389875,0.00116963,0.000389875
40,356.87,0.86145,1.08568,1.04621,0.19918,0.14987,0.13453,0.10491,1.26184,3.28675,1.3209,0.00115106,0.000383688,0.00115106,0.000383688,0.00115106,0.000383688,0.00115106,0.000383688
41,365.676,0.85934,1.06953,1.03533,0.19519,0.14759,0.13634,0.10649,1.27159,3.32192,1.33237,0.0011325,0.0003775,0.0011325,0.0003775,0.0011325,0.0003775,0.0011325,0.0003775
